,avg_rating,geek_rating,link,name,rank,vote_count,year
0,7.72,7.440,/boardgame/70149/ora-et-labora,Ora et Labora,101,8765,2011
1,7.69,7.440,/boardgame/17133/railways-world,Railways of the World,102,10373,2005
2,7.83,7.434,/boardgame/155068/arcadia-quest,Arcadia Quest,103,7656,2014
3,7.57,7.431,/boardgame/123260/suburbia,Suburbia,104,18719,2012
4,7.78,7.429,/boardgame/14105/commands-colors-ancients,Commands & Colors: Ancients,105,7369,2006
5,7.67,7.420,/boardgame/126042/nations,Nations,106,9964,2013
6,7.79,7.415,/boardgame/155821/inis,Inis,107,8055,2016
7,7.64,7.413,/boardgame/77423/lord-rings-card-game,The Lord of the Rings: The Card Game,108,17901,2011
8,7.65,7.413,/boardgame/171131/captain-sonar,Captain Sonar,109,11546,2016
9,7.73,7.407,/boardgame/224037/codenames-duet,Codenames: Duet,110,7461,2017
10,8.02,7.403,/boardgame/91/paths-glory,Paths of Glory,111,4017,1999
11,7.52,7.402,/boardgame/54043/jaipur,Jaipur,112,27377,2009
12,7.56,7.402,/boardgame/39463/cosmic-encounter,Cosmic Encounter,113,23663,2008
13,7.91,7.402,/boardgame/21050/combat-commander-europe,Combat Commander: Europe,114,4833,2006
14,7.95,7.401,/boardgame/195421/near-and-far,Near and Far,115,4615,2017
15,7.55,7.395,/boardgame/10630/memoir-44,Memoir '44,116,22473,2004
16,7.92,7.393,/boardgame/221194/dinosaur-island,Dinosaur Island,117,5561,2017
17,7.63,7.393,/boardgame/43015/hansa-teutonica,Hansa Teutonica,118,9989,2009
18,7.86,7.392,/boardgame/203993/lorenzo-il-magnifico,Lorenzo il Magnifico,119,5308,2016
19,7.98,7.391,/boardgame/236457/architects-west-kingdom,Architects of the West Kingdom,120,4489,2018
20,7.55,7.389,/boardgame/104006/village,Village,121,17140,2011
21,7.59,7.380,/boardgame/199561/sagrada,Sagrada,122,13617,2017
22,7.61,7.378,/boardgame/9216/goa,Goa,123,10396,2004
23,8.28,7.375,/boardgame/266192/wingspan,Wingspan,124,2922,2019
24,7.69,7.375,/boardgame/4098/age-steam,Age of Steam,125,7343,2002
25,7.91,7.375,/boardgame/233371/clank-space,Clank! In! Space!,126,4688,2017
26,7.64,7.375,/boardgame/31627/ticket-ride-nordic-countries,Ticket to Ride: Nordic Countries,127,9747,2007
27,8.04,7.370,/boardgame/229853/teotihuacan-city-gods,Teotihuacan: City of Gods,128,3660,2018
28,7.72,7.368,/boardgame/146886/la-granja,La Granja,129,6627,2014
29,7.48,7.368,/boardgame/148228/splendor,Splendor,130,43989,2014
30,7.59,7.364,/boardgame/215/tichu,Tichu,131,11933,1991
31,7.65,7.363,/boardgame/188/go,Go,132,13095,-2200
32,7.63,7.363,/boardgame/27833/steam,Steam,133,8855,2009
33,7.75,7.360,/boardgame/176189/zombicide-black-plague,Zombicide: Black Plague,134,9309,2015
34,7.55,7.360,/boardgame/555/princes-florence,The Princes of Florence,135,13998,2000
35,7.60,7.355,/boardgame/129437/legendary-marvel-deck-building-game,Legendary: A Marvel Deck Building Game,136,16735,2012
36,7.66,7.351,/boardgame/128621/viticulture,Viticulture,137,8166,2013
37,8.54,7.350,/boardgame/192135/too-many-bones,Too Many Bones,138,2330,2017
38,7.45,7.349,/boardgame/9209/ticket-ride,Ticket to Ride,139,59564,2004
39,7.61,7.339,/boardgame/118048/targi,Targi,140,8687,2012
40,7.48,7.334,/boardgame/12/ra,Ra,141,17334,1999
41,7.71,7.334,/boardgame/197376/charterstone,Charterstone,142,7610,2017
42,8.05,7.333,/boardgame/25021/sekigahara-unification-japan,Sekigahara: The Unification of Japan,143,3268,2011
43,7.56,7.331,/boardgame/20551/shogun,Shogun,144,11825,2006
44,7.94,7.328,/boardgame/188920/war-mine-board-game,This War of Mine: The Board Game,145,4772,2017
45,7.44,7.328,/boardgame/31481/galaxy-trucker,Galaxy Trucker,146,25264,2007
46,8.25,7.326,/boardgame/175640/vinhos-deluxe-edition,Vinhos Deluxe Edition,147,2519,2016
47,7.53,7.326,/boardgame/54998/cyclades,Cyclades,148,15136,2009
48,7.43,7.325,/boardgame/822/carcassonne,Carcassonne,149,83524,2000
49,7.48,7.318,/boardgame/154203/imperial-settlers,Imperial Settlers,150,17142,2014
50,7.47,7.316,/boardgame/463/magic-gathering,Magic: The Gathering,151,27541,1993
51,7.84,7.314,/boardgame/163068/trickerion-legends-illusion,Trickerion: Legends of Illusion,152,4609,2015
52,7.83,7.313,/boardgame/82222/xia-legends-drift-system,Xia: Legends of a Drift System,153,5224,2014
53,7.91,7.310,/boardgame/182631/star-realms-colony-wars,Star Realms: Colony Wars,154,4069,2015
54,7.68,7.310,/boardgame/7854/yinsh,YINSH,155,6311,2003
55,7.53,7.306,/boardgame/192291/sushi-go-party,Sushi Go Party!,156,12988,2016
56,8.11,7.304,/boardgame/239188/chronicles-crime,Chronicles of Crime,157,3588,2018
57,7.52,7.304,/boardgame/140620/lewis-clark,Lewis & Clark,158,10876,2013
58,7.62,7.303,/boardgame/24181/imperial,Imperial,159,7804,2006
59,7.52,7.303,/boardgame/97207/dungeon-petz,Dungeon Petz,160,10837,2011
60,7.49,7.301,/boardgame/19857/glory-rome,Glory to Rome,161,12008,2005
61,8.05,7.300,/boardgame/155873/power-grid-deluxe-europenorth-america,Power Grid Deluxe: Europe/North America,162,3009,2014
62,7.56,7.299,/boardgame/22545/age-empires-iii-age-discovery,Age of Empires III: The Age of Discovery,163,9462,2007
63,7.54,7.298,/boardgame/156129/deception-murder-hong-kong,Deception: Murder in Hong Kong,164,10771,2014
64,7.46,7.295,/boardgame/176494/isle-skye-chieftain-king,Isle of Skye: From Chieftain to King,165,15168,2015
65,7.60,7.295,/boardgame/27708/1960-making-president,1960: The Making of the President,166,7912,2007
66,7.81,7.292,/boardgame/234/hannibal-rome-vs-carthage,Hannibal: Rome vs. Carthage,167,4562,1996
67,7.56,7.291,/boardgame/93260/summoner-wars-master-set,Summoner Wars: Master Set,168,9695,2011
68,7.82,7.291,/boardgame/146439/battlelore-second-edition,BattleLore (Second Edition),169,4786,2013
69,7.57,7.291,/boardgame/127060/bora-bora,Bora Bora,170,7932,2013
70,8.21,7.290,/boardgame/233398/endeavor-age-sail,Endeavor: Age of Sail,171,2933,2018
71,7.67,7.287,/boardgame/59294/runewars,Runewars,172,7206,2010
72,7.70,7.287,/boardgame/198994/hero-realms,Hero Realms,173,7612,2016
73,7.44,7.282,/boardgame/108745/seasons,Seasons,174,17314,2012
74,7.78,7.282,/boardgame/193037/dead-winter-long-night,Dead of Winter: The Long Night,175,5515,2016
75,7.47,7.282,/boardgame/38453/space-alert,Space Alert,176,13523,2008
76,7.69,7.279,/boardgame/203420/exit-game-abandoned-cabin,Exit: The Game â€“ The Abandoned Cabin,177,5583,2016
77,7.85,7.278,/boardgame/421/1830-railways-robber-barons,1830: Railways & Robber Barons,178,3899,1986
78,7.46,7.274,/boardgame/48726/alien-frontiers,Alien Frontiers,179,13042,2010
79,7.49,7.272,/boardgame/92828/dixit-odyssey,Dixit: Odyssey,180,13156,2011
80,7.69,7.271,/boardgame/101721/mage-wars-arena,Mage Wars Arena,181,6769,2012
81,7.59,7.270,/boardgame/188834/secret-hitler,Secret Hitler,182,10839,2016
82,7.56,7.263,/boardgame/66589/navegador,Navegador,183,7178,2010
83,7.41,7.260,/boardgame/181304/mysterium,Mysterium,184,22493,2015
84,7.51,7.259,/boardgame/172818/above-and-below,Above and Below,185,9837,2015
85,7.71,7.258,/boardgame/54138/imperial-2030,Imperial 2030,186,4958,2009
86,7.82,7.257,/boardgame/109276/kanban-drivers-edition,Kanban: Driver's Edition,187,3998,2014
87,7.44,7.257,/boardgame/3/samurai,Samurai,188,13366,1998
88,7.81,7.254,/boardgame/225694/decrypto,Decrypto,189,4180,2018
89,8.01,7.253,/boardgame/199792/everdell,Everdell,190,3392,2018
90,7.57,7.253,/boardgame/181279/fury-dracula-thirdfourth-edition,Fury of Dracula (third/fourth edition),191,7991,2015
91,7.42,7.240,/boardgame/760/battle-line,Battle Line,192,13982,2000
92,7.93,7.240,/boardgame/17392/here-i-stand,Here I Stand,193,3265,2006
93,7.84,7.239,/boardgame/19777/indonesia,Indonesia,194,3486,2005
94,7.39,7.238,/boardgame/204583/kingdomino,Kingdomino,195,18918,2016
95,7.71,7.236,/boardgame/220877/rajas-ganges,Rajas of the Ganges,196,4744,2017
96,7.46,7.235,/boardgame/77130/sid-meiers-civilization-board-game,Sid Meier's Civilization: The Board Game,197,13153,2010
97,7.62,7.233,/boardgame/172081/burgle-bros,Burgle Bros.,198,5896,2015
98,7.91,7.232,/boardgame/13122/antiquity,Antiquity,199,3089,2004
99,7.49,7.229,/boardgame/160477/onitama,Onitama,200,9633,2014
